"year","state","month","number","date"
1998,"Amazonas","Janeiro",0,1998-01-01
1998,"Amazonas","Fevereiro",0,1998-01-01
1998,"Amazonas","Mar�o",0,1998-01-01
1998,"Amazonas","Abril",0,1998-01-01
1998,"Amazonas","Maio",0,1998-01-01
1998,"Amazonas","Junho",2,1998-01-01
1998,"Amazonas","Julho",71,1998-01-01
1998,"Amazonas","Agosto",321,1998-01-01
1998,"Amazonas","Setembro",267,1998-01-01
1998,"Amazonas","Outubro",83,1998-01-01
1998,"Amazonas","Novembro",6,1998-01-01
1998,"Amazonas","Dezembro",196,1998-01-01
1999,"Amazonas","Janeiro",3,1999-01-01
1999,"Amazonas","Fevereiro",43,1999-01-01
1999,"Amazonas","Mar�o",7,1999-01-01
1999,"Amazonas","Abril",2,1999-01-01
1999,"Amazonas","Maio",0,1999-01-01
1999,"Amazonas","Junho",7,1999-01-01
1999,"Amazonas","Julho",11,1999-01-01
1999,"Amazonas","Agosto",259,1999-01-01
1999,"Amazonas","Setembro",216,1999-01-01
1999,"Amazonas","Outubro",479,1999-01-01
1999,"Amazonas","Novembro",32,1999-01-01
1999,"Amazonas","Dezembro",2,1999-01-01
2000,"Amazonas","Janeiro",7,2000-01-01
2000,"Amazonas","Fevereiro",62,2000-01-01
2000,"Amazonas","Mar�o",69,2000-01-01
2000,"Amazonas","Abril",18,2000-01-01
2000,"Amazonas","Maio",51,2000-01-01
2000,"Amazonas","Junho",6,2000-01-01
2000,"Amazonas","Julho",39,2000-01-01
2000,"Amazonas","Agosto",180,2000-01-01
2000,"Amazonas","Setembro",189,2000-01-01
2000,"Amazonas","Outubro",145,2000-01-01
2000,"Amazonas","Novembro",27,2000-01-01
2000,"Amazonas","Dezembro",60,2000-01-01
2001,"Amazonas","Janeiro",3,2001-01-01
2001,"Amazonas","Fevereiro",8,2001-01-01
2001,"Amazonas","Mar�o",6,2001-01-01
2001,"Amazonas","Abril",1,2001-01-01
2001,"Amazonas","Maio",0,2001-01-01
2001,"Amazonas","Junho",5,2001-01-01
2001,"Amazonas","Julho",9,2001-01-01
2001,"Amazonas","Agosto",501,2001-01-01
2001,"Amazonas","Setembro",166,2001-01-01
2001,"Amazonas","Outubro",332,2001-01-01
2001,"Amazonas","Novembro",244,2001-01-01
2001,"Amazonas","Dezembro",22,2001-01-01
2002,"Amazonas","Janeiro",17,2002-01-01
2002,"Amazonas","Fevereiro",2,2002-01-01
2002,"Amazonas","Mar�o",5,2002-01-01
2002,"Amazonas","Abril",2,2002-01-01
2002,"Amazonas","Maio",8,2002-01-01
2002,"Amazonas","Junho",5,2002-01-01
2002,"Amazonas","Julho",146,2002-01-01
2002,"Amazonas","Agosto",741,2002-01-01
2002,"Amazonas","Setembro",928,2002-01-01
2002,"Amazonas","Outubro",695,2002-01-01
2002,"Amazonas","Novembro",259,2002-01-01
2002,"Amazonas","Dezembro",44,2002-01-01
2003,"Amazonas","Janeiro",158,2003-01-01
2003,"Amazonas","Fevereiro",62,2003-01-01
2003,"Amazonas","Mar�o",64,2003-01-01
2003,"Amazonas","Abril",11,2003-01-01
2003,"Amazonas","Maio",2,2003-01-01
2003,"Amazonas","Junho",3,2003-01-01
2003,"Amazonas","Julho",180,2003-01-01
2003,"Amazonas","Agosto",1.867,2003-01-01
2003,"Amazonas","Setembro",1.401,2003-01-01
2003,"Amazonas","Outubro",725,2003-01-01
2003,"Amazonas","Novembro",169,2003-01-01
2003,"Amazonas","Dezembro",147,2003-01-01
2004,"Amazonas","Janeiro",123,2004-01-01
2004,"Amazonas","Fevereiro",92,2004-01-01
2004,"Amazonas","Mar�o",6,2004-01-01
2004,"Amazonas","Abril",4,2004-01-01
2004,"Amazonas","Maio",0,2004-01-01
2004,"Amazonas","Junho",12,2004-01-01
2004,"Amazonas","Julho",177,2004-01-01
2004,"Amazonas","Agosto",1.207,2004-01-01
2004,"Amazonas","Setembro",911,2004-01-01
2004,"Amazonas","Outubro",710,2004-01-01
2004,"Amazonas","Novembro",209,2004-01-01
2004,"Amazonas","Dezembro",53,2004-01-01
2005,"Amazonas","Janeiro",44,2005-01-01
2005,"Amazonas","Fevereiro",6,2005-01-01
2005,"Amazonas","Mar�o",12,2005-01-01
2005,"Amazonas","Abril",5,2005-01-01
2005,"Amazonas","Maio",8,2005-01-01
2005,"Amazonas","Junho",78,2005-01-01
2005,"Amazonas","Julho",676,2005-01-01
2005,"Amazonas","Agosto",2.316,2005-01-01
2005,"Amazonas","Setembro",2.812,2005-01-01
2005,"Amazonas","Outubro",545,2005-01-01
2005,"Amazonas","Novembro",261,2005-01-01
2005,"Amazonas","Dezembro",17,2005-01-01
2006,"Amazonas","Janeiro",20,2006-01-01
2006,"Amazonas","Fevereiro",10,2006-01-01
2006,"Amazonas","Mar�o",20,2006-01-01
2006,"Amazonas","Abril",5,2006-01-01
2006,"Amazonas","Maio",4,2006-01-01
2006,"Amazonas","Junho",9,2006-01-01
2006,"Amazonas","Julho",123,2006-01-01
2006,"Amazonas","Agosto",1.422,2006-01-01
2006,"Amazonas","Setembro",2.218,2006-01-01
2006,"Amazonas","Outubro",721,2006-01-01
2006,"Amazonas","Novembro",59,2006-01-01
2006,"Amazonas","Dezembro",23,2006-01-01
2007,"Amazonas","Janeiro",37,2007-01-01
2007,"Amazonas","Fevereiro",92,2007-01-01
2007,"Amazonas","Mar�o",6,2007-01-01
2007,"Amazonas","Abril",0,2007-01-01
2007,"Amazonas","Maio",0,2007-01-01
2007,"Amazonas","Junho",23,2007-01-01
2007,"Amazonas","Julho",116,2007-01-01
2007,"Amazonas","Agosto",2.241,2007-01-01
2007,"Amazonas","Setembro",1.36,2007-01-01
2007,"Amazonas","Outubro",215,2007-01-01
2007,"Amazonas","Novembro",90,2007-01-01
2007,"Amazonas","Dezembro",7,2007-01-01
2008,"Amazonas","Janeiro",16,2008-01-01
2008,"Amazonas","Fevereiro",32,2008-01-01
2008,"Amazonas","Mar�o",10,2008-01-01
2008,"Amazonas","Abril",13,2008-01-01
2008,"Amazonas","Maio",1,2008-01-01
2008,"Amazonas","Junho",7,2008-01-01
2008,"Amazonas","Julho",108,2008-01-01
2008,"Amazonas","Agosto",861,2008-01-01
2008,"Amazonas","Setembro",998,2008-01-01
2008,"Amazonas","Outubro",632,2008-01-01
2008,"Amazonas","Novembro",39,2008-01-01
2008,"Amazonas","Dezembro",0,2008-01-01
2009,"Amazonas","Janeiro",9,2009-01-01
2009,"Amazonas","Fevereiro",3,2009-01-01
2009,"Amazonas","Mar�o",11,2009-01-01
2009,"Amazonas","Abril",1,2009-01-01
2009,"Amazonas","Maio",3,2009-01-01
2009,"Amazonas","Junho",13,2009-01-01
2009,"Amazonas","Julho",199,2009-01-01
2009,"Amazonas","Agosto",1.321,2009-01-01
2009,"Amazonas","Setembro",3.091,2009-01-01
2009,"Amazonas","Outubro",2.189,2009-01-01
2009,"Amazonas","Novembro",973,2009-01-01
2009,"Amazonas","Dezembro",102,2009-01-01
2010,"Amazonas","Janeiro",82,2010-01-01
2010,"Amazonas","Fevereiro",81,2010-01-01
2010,"Amazonas","Mar�o",116,2010-01-01
2010,"Amazonas","Abril",11,2010-01-01
2010,"Amazonas","Maio",13,2010-01-01
2010,"Amazonas","Junho",9,2010-01-01
2010,"Amazonas","Julho",640,2010-01-01
2010,"Amazonas","Agosto",3.727,2010-01-01
2010,"Amazonas","Setembro",2.781,2010-01-01
2010,"Amazonas","Outubro",889,2010-01-01
2010,"Amazonas","Novembro",354,2010-01-01
2010,"Amazonas","Dezembro",123,2010-01-01
2011,"Amazonas","Janeiro",53,2011-01-01
2011,"Amazonas","Fevereiro",30,2011-01-01
2011,"Amazonas","Mar�o",49,2011-01-01
2011,"Amazonas","Abril",5,2011-01-01
2011,"Amazonas","Maio",6,2011-01-01
2011,"Amazonas","Junho",22,2011-01-01
2011,"Amazonas","Julho",271,2011-01-01
2011,"Amazonas","Agosto",1.243,2011-01-01
2011,"Amazonas","Setembro",1.295,2011-01-01
2011,"Amazonas","Outubro",694,2011-01-01
2011,"Amazonas","Novembro",399,2011-01-01
2011,"Amazonas","Dezembro",121,2011-01-01
2012,"Amazonas","Janeiro",6,2012-01-01
2012,"Amazonas","Fevereiro",25,2012-01-01
2012,"Amazonas","Mar�o",17,2012-01-01
2012,"Amazonas","Abril",3,2012-01-01
2012,"Amazonas","Maio",12,2012-01-01
2012,"Amazonas","Junho",45,2012-01-01
2012,"Amazonas","Julho",234,2012-01-01
2012,"Amazonas","Agosto",3.011,2012-01-01
2012,"Amazonas","Setembro",2.392,2012-01-01
2012,"Amazonas","Outubro",1.238,2012-01-01
2012,"Amazonas","Novembro",682,2012-01-01
2012,"Amazonas","Dezembro",80,2012-01-01
2013,"Amazonas","Janeiro",37,2013-01-01
2013,"Amazonas","Fevereiro",16,2013-01-01
2013,"Amazonas","Mar�o",49,2013-01-01
2013,"Amazonas","Abril",20,2013-01-01
2013,"Amazonas","Maio",19,2013-01-01
2013,"Amazonas","Junho",56,2013-01-01
2013,"Amazonas","Julho",248,2013-01-01
2013,"Amazonas","Agosto",1.276,2013-01-01
2013,"Amazonas","Setembro",1.739,2013-01-01
2013,"Amazonas","Outubro",1.202,2013-01-01
2013,"Amazonas","Novembro",220,2013-01-01
2013,"Amazonas","Dezembro",236,2013-01-01
2014,"Amazonas","Janeiro",46,2014-01-01
2014,"Amazonas","Fevereiro",49,2014-01-01
2014,"Amazonas","Mar�o",50,2014-01-01
2014,"Amazonas","Abril",25,2014-01-01
2014,"Amazonas","Maio",12,2014-01-01
2014,"Amazonas","Junho",74,2014-01-01
2014,"Amazonas","Julho",202,2014-01-01
2014,"Amazonas","Agosto",3.852,2014-01-01
2014,"Amazonas","Setembro",3.057,2014-01-01
2014,"Amazonas","Outubro",952,2014-01-01
2014,"Amazonas","Novembro",676,2014-01-01
2014,"Amazonas","Dezembro",293,2014-01-01
2015,"Amazonas","Janeiro",35,2015-01-01
2015,"Amazonas","Fevereiro",107,2015-01-01
2015,"Amazonas","Mar�o",46,2015-01-01
2015,"Amazonas","Abril",24,2015-01-01
2015,"Amazonas","Maio",10,2015-01-01
2015,"Amazonas","Junho",33,2015-01-01
2015,"Amazonas","Julho",356,2015-01-01
2015,"Amazonas","Agosto",4.564,2015-01-01
2015,"Amazonas","Setembro",5.882,2015-01-01
2015,"Amazonas","Outubro",2.494,2015-01-01
2015,"Amazonas","Novembro",1.054,2015-01-01
2015,"Amazonas","Dezembro",565,2015-01-01
2016,"Amazonas","Janeiro",770,2016-01-01
2016,"Amazonas","Fevereiro",275,2016-01-01
2016,"Amazonas","Mar�o",140,2016-01-01
2016,"Amazonas","Abril",22,2016-01-01
2016,"Amazonas","Maio",30,2016-01-01
2016,"Amazonas","Junho",90,2016-01-01
2016,"Amazonas","Julho",1.137,2016-01-01
2016,"Amazonas","Agosto",3.611,2016-01-01
2016,"Amazonas","Setembro",3.119,2016-01-01
2016,"Amazonas","Outubro",2.105,2016-01-01
2016,"Amazonas","Novembro",591,2016-01-01
2016,"Amazonas","Dezembro",133,2016-01-01
